ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2448,2a5fa358-7013-4a0a-848c-bdb9251cabd0,no,no,no,clear,17638,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4408595,37.72342899,3 paint_on_metal_pole
2449,844ccabc-7605-47f7-8a7b-f2e64a38ab37,no,no,no,clear,15783,10_min,"29, 49",29,49,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4385117,37.7235577,3 paint_on_metal_pole
2450,2aa9622f-1d67-4640-8bf5-f231fff3de9e,no,no,no,clear,,10_min,"29, 49",29,49,,,,,,,,,,no,yes,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4386657,37.72370801,3 paint_on_metal_pole
2451,f66b95fe-1161-4a70-959b-84acf98874c3,no,no,no,clear,,10_min,49,49,,,,,,,,,,,no,no,no_sign,no,z_no_sign,South,-122.4372068,37.72381846,5 no_sign
2452,0081b3f2-1e45-4464-a153-ed79fd3d5c4b,no,no,no,clear,13761,20_30_min,52,52,,,,,,,,,,,no,no,"metal_sign,paint_on_pavement,paint_on_metal_pole",yes,combination,South,-122.4346299,37.72463901,0 metal_sign
2453,85f2c812-892a-4ffd-94ef-83b78a83e9fc,no,no,no,parking_obstructed,15796,10_min,49,49,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4361151,37.72389893,2 paint_on_telephone_pole
2454,17cf268d-1fc5-4d3f-9edb-e23a5b9a8ace,no,no,no,clear,15801,10_min,49,49,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4361566,37.72377031,3 paint_on_metal_pole
2455,9c77e74b-af3d-4bc9-9c24-34efb04f4802,no,no,no,clear,,10_min,"14, 14-r, 14-x",14,14,14,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4359102,37.72333106,3 paint_on_metal_pole
2456,5c244e93-5ba9-4a6d-9e25-33de6c548c59,no,no,no,clear,,10_min,14,14,,,,,,,,,,,no,no,no_sign,no,z_no_sign,South,-122.4374641,37.7213357,5 no_sign
2457,5d240903-85bd-40e2-b610-d80158b0f992,yes,yes,yes_working,clear,15615,10_min,"14, 14-x",14,14,,,,,,,,,4,yes,no,shelter_marking,yes,shelter_marking,South,-122.437172,37.72141859,1 shelter_marking
