stop_code,stop_name,route_short_name,route_long_name,route_type,route_color,route_text_color,direction_id,eol_stop_names_all,eol_stop_names_day,eol_stop_names_owl,start_time,end_time,day_headway,owl_headway,day_headway_min,owl_headway_min,mon,tue,wed,thu,fri,sat,sun
13103,3rd St & 20th St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,1,19th Ave & Holloway Ave@@@36,,19th Ave & Holloway Ave@@@24,24:25:00,29:55:00,,30.0,,30.0,1,1,1,1,1,1,1
13103,3rd St & 20th St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,0,Pacific Ave & Powell St@@@16###Stockton St & Washington St@@@10,,,05:24:00,24:16:00,,,,,1,1,1,1,1,1,1
13104,3rd St & 20th St,15,BAYVIEW HUNTERS POINT EXPRESS,3,005B95,FFFFFF,0,Palou Ave & 3rd St@@@210,Palou Ave & 3rd St@@@103,,08:19:00,22:19:00,12.636363636363637,,12.029411764705882,,1,1,1,1,1,1,1
13104,3rd St & 20th St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,0,West Portal Ave & Ulloa St@@@39,,West Portal Ave & Ulloa St@@@24,23:58:00,29:58:00,,30.0,,30.0,1,1,1,1,1,1,1
13104,3rd St & 20th St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,1,Visitacion Ave & Bay Shore Blvd@@@28,,,05:23:00,06:08:00,,,,,1,1,1,1,1,1,1
13107,3rd St & 23rd St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,1,19th Ave & Holloway Ave@@@36,,19th Ave & Holloway Ave@@@24,24:23:48,29:53:48,,30.0,,30.0,1,1,1,1,1,1,1
13107,3rd St & 23rd St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,0,Pacific Ave & Powell St@@@16###Stockton St & Washington St@@@10,,,05:22:19,24:14:19,,,,,1,1,1,1,1,1,1
13108,3rd St & 23rd St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,0,West Portal Ave & Ulloa St@@@39,,West Portal Ave & Ulloa St@@@24,23:59:16,29:59:16,,30.0,,30.0,1,1,1,1,1,1,1
13108,3rd St & 23rd St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,1,Visitacion Ave & Bay Shore Blvd@@@28,,,05:24:54,06:09:54,,,,,1,1,1,1,1,1,1
13113,3rd St & Bayview St,91,3RD-19TH AVE OWL,3,666666,FFFFFF,0,West Portal Ave & Ulloa St@@@39,,West Portal Ave & Ulloa St@@@27,24:06:46,30:06:46,,30.0,,30.0,1,1,1,1,1,1,1
13113,3rd St & Bayview St,TBUS,THIRD BUS,3,BF2B45,FFFFFF,1,Visitacion Ave & Bay Shore Blvd@@@28,,,05:31:57,06:16:57,,,,,1,1,1,1,1,1,1
13114,3rd St & Brannan St,15,BAYVIEW HUNTERS POINT EXPRESS,3,005B95,FFFFFF,1,Sutter St & Sansome St@@@210,Sutter St & Sansome St@@@101,,08:27:27,22:24:54,12.65625,,12.088235294117647,,1,1,1,1,1,1,1
13114,3rd St & Brannan St,30,STOCKTON,3,005B95,FFFFFF,0,Divisadero St & Chestnut St@@@53###Sports Basement Parking Lot@@@172###Van Ness Ave & North Point St@@@126,Sports Basement Parking Lot@@@91###Van Ness Ave & North Point St@@@91,,05:05:55,24:00:55,7.509090909090909,,6.0,,1,1,1,1,1,1,1
13114,3rd St & Brannan St,45,UNION-STOCKTON,3,005B95,FFFFFF,0,Lyon St & Greenwich St@@@213###Sutter St & Kearny St@@@10,Lyon St & Greenwich St@@@98,,05:22:04,22:32:04,15.0,,9.975609756097562,,1,1,1,1,1,1,1
