13049,Balboa St & 23rd Ave,31,BALBOA,Ocean Beach,18758,04:41:46,22:26:46,1,1,1,1,1,0,0
13049,Balboa St & 23rd Ave,31,BALBOA,Ocean Beach,18758,04:41:46,22:27:22,0,0,0,0,0,1,0
13049,Balboa St & 23rd Ave,31,BALBOA,Ocean Beach,18758,04:41:46,22:27:22,0,0,0,0,0,0,1
13050,Balboa St & 23rd Ave,31,BALBOA,Masonic + Turk,18758,05:07:57,22:42:23,1,1,1,1,1,0,0
13050,Balboa St & 23rd Ave,31,BALBOA,Masonic + Turk,18758,05:07:23,22:42:57,0,0,0,0,0,1,0
13050,Balboa St & 23rd Ave,31,BALBOA,Masonic + Turk,18758,05:07:23,22:42:57,0,0,0,0,0,0,1
13051,Balboa St & 25th Ave,31,BALBOA,Ocean Beach,18758,04:42:24,22:27:24,1,1,1,1,1,0,0
13051,Balboa St & 25th Ave,31,BALBOA,Ocean Beach,18758,04:42:24,22:27:57,0,0,0,0,0,1,0
13051,Balboa St & 25th Ave,31,BALBOA,Ocean Beach,18758,04:42:24,22:27:57,0,0,0,0,0,0,1
13052,Balboa St & 25th Ave,31,BALBOA,Masonic + Turk,18758,05:07:28,22:41:56,1,1,1,1,1,0,0
13052,Balboa St & 25th Ave,31,BALBOA,Masonic + Turk,18758,05:06:56,22:42:28,0,0,0,0,0,1,0
13052,Balboa St & 25th Ave,31,BALBOA,Masonic + Turk,18758,05:06:56,22:42:28,0,0,0,0,0,0,1
13053,Balboa St & 28th Ave,31,BALBOA,Ocean Beach,18758,04:43:11,22:28:11,1,1,1,1,1,0,0
13053,Balboa St & 28th Ave,31,BALBOA,Ocean Beach,18758,04:43:11,22:28:40,0,0,0,0,0,1,0
13053,Balboa St & 28th Ave,31,BALBOA,Ocean Beach,18758,04:43:11,22:28:40,0,0,0,0,0,0,1
13054,Balboa St & 28th Ave,31,BALBOA,Masonic + Turk,18758,05:06:33,22:41:06,1,1,1,1,1,0,0
13054,Balboa St & 28th Ave,31,BALBOA,Masonic + Turk,18758,05:06:06,22:41:33,0,0,0,0,0,1,0
13054,Balboa St & 28th Ave,31,BALBOA,Masonic + Turk,18758,05:06:06,22:41:33,0,0,0,0,0,0,1
13055,Balboa St & 30th Ave,31,BALBOA,Ocean Beach,18758,04:43:49,22:28:49,1,1,1,1,1,0,0
13055,Balboa St & 30th Ave,31,BALBOA,Ocean Beach,18758,04:43:49,22:29:15,0,0,0,0,0,1,0
13055,Balboa St & 30th Ave,31,BALBOA,Ocean Beach,18758,04:43:49,22:29:15,0,0,0,0,0,0,1
13056,Balboa St & 30th Ave,31,BALBOA,Masonic + Turk,18758,05:06:00,22:40:35,1,1,1,1,1,0,0
