stop_code,BS_ID,STOP_NAME,STOP_LAT,STOP_LONG,max_ons,log_max_ons
13108,3108,3rd St&23rd St SW-FS/SB,37.75506,-122.3881,4,2..5
13113,3113,3rd St&Bayview St SW-FS/BB,37.7322,-122.39173,5,5..10
13114,3114,3rd St&Brannan St. E-MB/BB,37.77929,-122.39319,132,100..200
13115,3115,3rd St&Carroll Ave N-NS/BZ,37.72567,-122.3943,1,0..2
13116,3116,3rd St&Carroll Ave S-NS/SB,37.7253,-122.3942,8,5..10
13123,3123,3rd St&Evans Ave SW-FS/SB,37.74244,-122.38815,18,10..20
13124,3124,3rd St&Folsom St N-FS/BZ,37.7842,-122.39933,196,100..200
13127,3127,3rd St&Hudson Ave S-NS/BZ,37.74012,-122.3887,23,20..50
13129,3129,3rd St&Innes Ave SW-FS/BZ,37.73932,-122.38926,15,10..20
13134,3134,3rd St&La Salle Ave NE-FS/BB,37.73721,-122.3898,22,20..50
13135,3135,3rd St&Kirkwood Ave SW-FS/BB,37.73793,-122.38962,11,10..20
13136,3136,3rd St&Mission St NE-FS/BZ,37.78637,-122.40211,442,200..500
13141,3141,3rd St&Palou Ave E-FS/BZ Cut-out,37.73409,-122.39093,345,200..500
13143,3143,3rd St&Oakdale Ave SW-FS/BB,37.73479,-122.39072,36,20..50
13144,3144,3rd St&Perry (Harrison) St E-NS/BZ,37.78211,-122.39681,84,50..100
13145,3145,3rd St&Revere Ave S-NS/BB,37.73225,-122.39146,9,5..10
13146,3146,3rd St&Salinas Ave NW-NS/SB,37.72086,-122.39646,1,0..2
13149,3149,3rd St&Van Dyke Ave S-NS/SB,37.72924,-122.39259,9,5..10
13150,3150,3rd St&Williams Ave SW-FS/BZ,37.72917,-122.39278,7,5..10
13153,3153,Third Street&Mission Rock St. NE-FS,37.77297,-122.38969,6,5..10
13156,3156,4th St&Brannan St S-FS/PS,37.77831,-122.3966,3,2..5
13158,3158,4th St&Folsom St S-FS/BZ,37.7818,-122.40101,53,50..100
13159,3159,4th St&Howard St S-FS/BZ,37.78304,-122.40255,44,20..50
13160,3160,4th St&Mission St OB S-FS/BZ,37.78426,-122.40412,170,100..200
13161,3161,4th St&Market St S-FS/BB,37.78553,-122.40568,508,500..1000
13164,3164,4th St&Townsend St S-FS/BZ,37.77689,-122.3949,5,5..10
13177,3177,6th Ave&Balboa St SE-NS/BZ,37.77715,-122.46392,21,20..50
13178,3178,6th Ave&Balboa St SW-FS/BZ,37.77699,-122.46409,27,20..50
13180,3180,6th Ave&Clement St NE-FS/BZ,37.78305,-122.46438,14,10..20
13181,3181,6th Ave&Clement St NW-NS/BZ,37.78303,-122.46453,159,100..200
13183,3183,6th Ave & Fulton St,37.77381,-122.46375,4,2..5
13184,3184,6th Ave&Geary Blvd SE-NS/BZ,37.78088,-122.46418,8,5..10
13185,3185,6th Ave&Geary Blvd SW-FS/BZ,37.78077,-122.46435,183,100..200
13188,3188,1697 7th Ave SW-FS/SB,37.7566,-122.46374,1,0..2
13189,3189,7th Ave&Moraga St NE-FS/PS,37.75677,-122.46357,3,2..5
13191,3191,7th St&Brannan St N-FS/BZ,37.77327,-122.40337,20,20..50
13192,3192,7th St&Folsom St N-FS/SI,37.77686,-122.4079,24,20..50
13193,3193,7th St&Harrison St N-FS/BZ,37.77573,-122.40646,29,20..50
13194,3194,7th St&Howard St E-NS/SI,37.77794,-122.40922,41,20..50
13195,3195,7th St&Mission St NE-FS/BZ,37.77933,-122.41103,52,50..100
13196,3196,7th St&Market St S-NS/SI,37.78031,-122.4124,95,50..100
13201,3201,8th Ave&Fulton St NE-FS/BZ,37.77364,-122.46581,28,20..50
13202,3202,8th Ave&Fulton St NW-NS/BZ,37.77348,-122.46598,42,20..50
13203,3203,8th St&Brannan St W-FS/BI,37.77118,-122.40539,3,2..5
13204,3204,8th St&Bryant St W-NS/BZ,37.77254,-122.40713,7,5..10
13205,3205,8th St&Folsom St S-FS/BZ,37.77477,-122.40992,11,10..20
13206,3206,8th St&Harrison St S-FS/BI,37.77354,-122.40838,10,10..20
13208,3208,8th St&Mission St S-FS/BZ,37.77724,-122.41303,69,50..100
13209,3209,8th St & Market St S-FS/BZ,37.7785,-122.4146,96,50..100
13211,3211,9th Ave&Irving St NE-FS/BZ,37.76429,-122.46624,53,50..100
13213,3213,9th Ave&Irving St SW-FS/BZ,37.7638,-122.46639,43,20..50
13214,3214,9th Ave&Judah St SE-NS/BZ,37.76209,-122.46608,75,50..100
13215,3215,9th Ave&Judah St SW-FS/BZ,37.76204,-122.46624,88,50..100
13216,3216,9th Ave&Kirkham St NW-NS/BZ,37.76041,-122.46615,7,5..10
13217,3217,9th Ave&Kirkham St SE-NS/BZ,37.76024,-122.46595,10,10..20
13218,3218,9th Ave&Lawton St NW-NS/RC,37.75853,-122.46602,11,10..20
13220,3220,9th Ave&Lincoln Way SE-NS/BZ,37.76585,-122.46635,44,20..50
13221,3221,9th Ave&Lincoln Way SW-FS/BZ,37.76569,-122.46652,52,50..100
13229,3229,9th St&Avenue H SW-NS/SB,37.8252,-122.37006,3,2..5
13235,3235,11th St&Bryant St N-FS/BZ,37.76981,-122.4113,43,20..50
13238,3238,11th St&Harrison St N-FS/BZ,37.77069,-122.41253,220,200..500
13239,3239,11th St&Harrison St S-FS/BZ,37.77056,-122.41249,91,50..100
13240,3240,11th St&Howard St N-FS/BZ,37.77333,-122.41573,33,20..50
13241,3241,11th St&Howard St S-FS/BZ,37.77283,-122.41538,25,20..50
13243,3243,11th St&Mission St S-FS/BZ,37.77404,-122.41689,92,50..100
13244,3244,11th St&Market St E-NS/SB,37.7755,-122.41852,27,20..50
13245,3245,11th St&Market St S-FS/BZ,37.77537,-122.41858,180,100..200
13253,3253,14th St&Alpine Ter NE-NS/SB,37.7673,-122.43721,,
13254,3254,14th St&Church St NW-FS/BZ,37.76777,-122.42909,,
13255,3255,14th St&Church St SW-NS/BZ,37.76767,-122.42913,,
13256,3256,14th St&Castro St NW-FS/SB,37.76738,-122.43584,,
13257,3257,14th St&Castro St SW-NS/SB,37.76728,-122.43578,,
13258,3258,14th St&Noe St NE-NS/PS,37.76751,-122.43327,,
13259,3259,14th St&Noe St SW-NS/PS,37.7674,-122.43356,,
13260,3260,14th St&Sanchez St NE-NS/PS,37.76767,-122.43111,,
13261,3261,14th St&Sanchez St SW-NS/PS,37.76754,-122.43128,,
